Algoritmo,N,Run,Solucion,H,Optimo,Tiempo,Estados_Evaluados
Backtracking,8,3,"[0, 4, 7, 5, 2, 6, 1, 3]",0,True,0.0004932880401611328,28
Forward Checking,8,3,"[0, 4, 7, 5, 2, 6, 1, 3]",0,True,0.0004792213439941406,28
Backtracking,8,4,"[0, 4, 7, 5, 2, 6, 1, 3]",0,True,0.0005283355712890625,28
Forward Checking,8,4,"[0, 4, 7, 5, 2, 6, 1, 3]",0,True,0.0003845691680908203,28
Backtracking,8,5,"[0, 4, 7, 5, 2, 6, 1, 3]",0,True,0.0005199909210205078,28
Forward Checking,8,5,"[0, 4, 7, 5, 2, 6, 1, 3]",0,True,0.00037932395935058594,28
Backtracking,8,6,"[0, 4, 7, 5, 2, 6, 1, 3]",0,True,0.0005238056182861328,28
Forward Checking,8,6,"[0, 4, 7, 5, 2, 6, 1, 3]",0,True,0.0003600120544433594,28
Backtracking,8,7,"[0, 4, 7, 5, 2, 6, 1, 3]",0,True,0.0004897117614746094,28
Forward Checking,8,7,"[0, 4, 7, 5, 2, 6, 1, 3]",0,True,0.0003578662872314453,28
Backtracking,8,8,"[0, 4, 7, 5, 2, 6, 1, 3]",0,True,0.0004878044128417969,28
Forward Checking,8,8,"[0, 4, 7, 5, 2, 6, 1, 3]",0,True,0.0003402233123779297,28
Backtracking,8,9,"[0, 4, 7, 5, 2, 6, 1, 3]",0,True,0.0005021095275878906,28
Forward Checking,8,9,"[0, 4, 7, 5, 2, 6, 1, 3]",0,True,0.00035190582275390625,28
Backtracking,8,10,"[0, 4, 7, 5, 2, 6, 1, 3]",0,True,0.0004942417144775391,28
Forward Checking,8,10,"[0, 4, 7, 5, 2, 6, 1, 3]",0,True,0.0003409385681152344,28
Backtracking,8,11,"[0, 4, 7, 5, 2, 6, 1, 3]",0,True,0.000492095947265625,28
Forward Checking,8,11,"[0, 4, 7, 5, 2, 6, 1, 3]",0,True,0.0003387928009033203,28
Backtracking,8,12,"[0, 4, 7, 5, 2, 6, 1, 3]",0,True,0.0004971027374267578,28
Forward Checking,8,12,"[0, 4, 7, 5, 2, 6, 1, 3]",0,True,0.0004649162292480469,28
Backtracking,8,13,"[0, 4, 7, 5, 2, 6, 1, 3]",0,True,0.0005064010620117188,28
Forward Checking,8,13,"[0, 4, 7, 5, 2, 6, 1, 3]",0,True,0.00038814544677734375,28
Backtracking,8,14,"[0, 4, 7, 5, 2, 6, 1, 3]",0,True,0.0005476474761962891,28
Forward Checking,8,14,"[0, 4, 7, 5, 2, 6, 1, 3]",0,True,0.00042128562927246094,28
Backtracking,8,15,"[0, 4, 7, 5, 2, 6, 1, 3]",0,True,0.0006284713745117188,28
Forward Checking,8,15,"[0, 4, 7, 5, 2, 6, 1, 3]",0,True,0.0005221366882324219,28
Backtracking,8,16,"[0, 4, 7, 5, 2, 6, 1, 3]",0,True,0.0005934238433837891,28
