Algoritmo,N,Run,Solucion,H,Optimo,Tiempo,Estados_Evaluados
Simulated Annealing,4,23,"[1, 3, 0, 2]",0,True,0.0007996559143066406,153
Genético,4,23,"[2, 0, 3, 1]",0,True,0.0017592906951904297,100
Hill Climbing,4,24,"[3, 1, 0, 2]",1,False,6.461143493652344e-05,1
Simulated Annealing,4,24,"[2, 0, 3, 1]",0,True,0.0004830360412597656,93
Genético,4,24,"[2, 0, 3, 1]",0,True,0.001813650131225586,100
Hill Climbing,4,25,"[0, 3, 1, 2]",1,False,9.322166442871094e-05,2
Simulated Annealing,4,25,"[1, 3, 0, 2]",0,True,0.0009682178497314453,179
Genético,4,25,"[1, 3, 0, 2]",0,True,0.0018384456634521484,100
Hill Climbing,4,26,"[3, 0, 2, 1]",1,False,9.441375732421875e-05,2
Simulated Annealing,4,26,"[1, 3, 0, 2]",0,True,0.0014595985412597656,284
Genético,4,26,"[2, 0, 3, 1]",0,True,0.0018532276153564453,100
Hill Climbing,4,27,"[1, 3, 2, 0]",1,False,9.417533874511719e-05,2
Simulated Annealing,4,27,"[1, 3, 0, 2]",0,True,0.0002536773681640625,48
Genético,4,27,"[2, 0, 3, 1]",0,True,0.001888275146484375,100
Hill Climbing,4,28,"[0, 3, 1, 2]",1,False,6.604194641113281e-05,1
Simulated Annealing,4,28,"[2, 0, 3, 1]",0,True,0.0001881122589111328,34
Genético,4,28,"[2, 0, 3, 1]",0,True,0.005181074142456055,300
Hill Climbing,4,29,"[1, 3, 2, 0]",1,False,9.441375732421875e-05,2
Simulated Annealing,4,29,"[1, 3, 0, 2]",0,True,0.0005967617034912109,115
Genético,4,29,"[1, 3, 0, 2]",0,True,0.0018644332885742188,100
Hill Climbing,4,30,"[1, 3, 2, 0]",1,False,9.107589721679688e-05,2
Simulated Annealing,4,30,"[2, 0, 3, 1]",0,True,0.0009279251098632812,178
Genético,4,30,"[1, 3, 0, 2]",0,True,0.001964569091796875,100
Hill Climbing,8,1,"[2, 6, 1, 1, 4, 0, 7, 3]",1,False,0.0026068687438964844,6
Simulated Annealing,8,1,"[1, 6, 4, 7, 7, 0, 2, 5]",1,False,0.006526947021484375,688
Genético,8,1,"[6, 3, 0, 7, 1, 4, 2, 0]",1,False,3.04083514213562,100000
Hill Climbing,8,2,"[4, 1, 3, 6, 6, 2, 0, 5]",1,False,0.0015599727630615234,3
Simulated Annealing,8,2,"[3, 5, 7, 1, 6, 0, 2, 4]",0,True,0.0061185359954833984,632
Genético,8,2,"[4, 1, 7, 0, 3, 6, 2, 5]",0,True,0.43851470947265625,14700
Hill Climbing,8,3,"[3, 0, 6, 3, 1, 7, 1, 5]",3,False,0.001531362533569336,3
Simulated Annealing,8,3,"[4, 6, 1, 2, 5, 7, 0, 3]",1,False,0.006485700607299805,688
Genético,8,3,"[3, 3, 7, 4, 2, 0, 5, 1]",1,False,3.1100988388061523,100000
Hill Climbing,8,4,"[2, 4, 6, 0, 3, 1, 7, 5]",0,True,0.0019621849060058594,4
Simulated Annealing,8,4,"[6, 0, 2, 5, 7, 2, 7, 3]",2,False,0.006798267364501953,688
Genético,8,4,"[1, 6, 4, 7, 0, 3, 5, 2]",0,True,1.0908968448638916,33500
Hill Climbing,8,5,"[0, 6, 3, 5, 7, 1, 4, 2]",0,True,0.0015337467193603516,4
Simulated Annealing,8,5,"[0, 2, 5, 1, 4, 7, 3, 6]",1,False,0.006536245346069336,688
Genético,8,5,"[5, 2, 6, 1, 3, 7, 0, 4]",0,True,0.08903861045837402,3000
Hill Climbing,8,6,"[4, 0, 7, 3, 6, 6, 1, 5]",1,False,0.002301931381225586,5
Simulated Annealing,8,6,"[6, 1, 5, 7, 5, 0, 2, 4]",1,False,0.006494283676147461,688
Genético,8,6,"[2, 0, 6, 4, 7, 1, 3, 5]",0,True,1.2403521537780762,39500
